map,winner,win condition,blue queen lives,gold queen lives,blue berries in,gold berries in
Spire,blue,military,4,0,0,0
Pod,gold,military,0,4,2,1
Tally,blue,military,2,0,0,5
Split,blue,economy,4,4,12,6
