map,winner,win condition,blue queen lives,gold queen lives,blue berries in,gold berries in
Spire,blue,military,4,0,0,0
Split,blue,military,4,0,9,11
Helix,gold,military,0,1,10,10
Pod,blue,military,3,0,4,1
